TransactionAmount,CustomerAge,TransactionDuration,LoginAttempts,AccountBalance,TransactionDate,Location,CustomerOccupation,PreviousTransactionDate,TransactionType_Debit,Channel_Branch,Channel_Online,Target
0.0033771843376217046,0.8387096774193548,0.24482758620689654,0.0,0.33683185966818,2023-04-11 16:29:14,36.0,0.0,2024-11-04 08:08:08,True,False,False,4.0
0.09181155222407872,0.8064516129032258,0.45172413793103444,0.0,0.9180546275595326,2023-06-27 16:44:19,15.0,0.0,2024-11-04 08:09:35,True,False,False,1.0
0.030775599571255488,0.016129032258064557,0.1586206896551724,0.0,0.06863734931174438,2023-07-10 18:16:08,23.0,3.0,2024-11-04 08:07:04,True,False,True,2.0
0.04499005367776014,0.12903225806451613,0.05172413793103449,0.0,0.569197956003802,2023-05-05 16:32:11,33.0,3.0,2024-11-04 08:09:06,True,False,True,1.0
0.0032209010421713866,0.435483870967742,0.6482758620689656,0.0,0.4925911187531677,2023-10-16 17:51:24,1.0,3.0,2024-11-04 08:06:39,False,False,True,3.0
0.022438862529577615,0.0,0.5586206896551724,0.0,0.045737843102722775,2023-04-03 17:15:01,28.0,3.0,2024-11-04 08:06:36,True,False,False,0.0
0.0016653938671424458,0.30645161290322587,0.44482758620689655,0.0,0.8883303734554748,2023-02-15 16:36:48,39.0,0.0,2024-11-04 08:10:09,False,False,False,1.0
0.04179601382699428,0.7903225806451613,0.9689655172413792,0.0,0.18115460779713835,2023-05-08 17:47:59,16.0,2.0,2024-11-04 08:10:55,False,True,False,3.0
0.0258770950294846,0.532258064516129,0.26206896551724135,0.0,0.6045605421617909,2023-03-21 16:59:46,11.0,1.0,2024-11-04 08:11:14,False,True,False,1.0
0.19918794390441247,0.5967741935483871,0.3793103448275862,0.0,0.06188385358620237,2023-03-31 16:06:57,26.0,0.0,2024-11-04 08:06:32,True,False,False,4.0
0.004278255212952442,0.5483870967741935,0.16896551724137931,0.0,0.5040264197666963,2023-03-14 16:46:10,0.0,1.0,2024-11-04 08:06:45,False,False,True,1.0
0.046337997101019136,0.04838709677419356,0.5620689655172414,0.0,0.09595919536134934,2023-02-06 17:30:00,22.0,3.0,2024-11-04 08:07:12,True,False,True,0.0
0.12069465876449051,0.09677419354838712,0.3482758620689655,0.0,0.10209024288923516,2023-06-07 17:21:28,23.0,3.0,2024-11-04 08:08:38,False,True,False,2.0
0.19083655530378613,0.12903225806451613,0.3896551724137931,0.0,0.005944850820811549,2023-11-20 16:39:15,22.0,3.0,2024-11-04 08:07:06,True,False,False,2.0
0.04071424039129912,0.0,0.4275862068965517,0.0,0.013355076448200345,2023-02-13 16:53:57,21.0,3.0,2024-11-04 08:10:09,True,False,True,0.0
0.11359597845395812,0.29032258064516125,0.4103448275862069,0.0,0.22614430312017286,2023-12-12 16:23:31,10.0,1.0,2024-11-04 08:12:19,True,False,False,2.0
0.1356587843038584,0.016129032258064557,0.5103448275862069,0.0,0.06923627084966197,2023-10-30 16:52:49,2.0,3.0,2024-11-04 08:07:35,False,True,False,0.0
0.12030639245235614,0.33870967741935487,0.7724137931034483,0.0,0.3366812890458528,2023-12-14 18:32:14,8.0,1.0,2024-11-04 08:11:51,True,False,True,3.0
0.00449802859717945,0.6612903225806451,0.3310344827586207,0.0,0.5274757776233234,2023-02-21 16:56:50,0.0,2.0,2024-11-04 08:12:01,False,True,False,4.0
0.017391400471830645,0.0,0.5482758620689655,0.0,0.4347283074114356,2023-06-08 18:18:50,8.0,3.0,2024-11-04 08:09:20,False,False,True,0.0
0.014422017858274612,0.8548387096774193,0.09655172413793102,0.0,0.3797633083592239,2023-02-28 16:36:58,20.0,2.0,2024-11-04 08:09:24,True,True,False,4.0
0.020880913428057264,0.32258064516129037,0.2862068965517241,0.0,0.607992073532239,2023-08-11 18:31:31,19.0,0.0,2024-11-04 08:08:13,True,True,False,1.0
0.01268336619638983,0.33870967741935487,0.3793103448275862,0.0,0.5964801428269905,2023-06-06 18:54:15,1.0,1.0,2024-11-04 08:07:01,True,False,True,1.0
0.08438809569018861,0.06451612903225812,0.4551724137931034,0.5,0.0874687599568185,2023-05-02 18:25:46,13.0,3.0,2024-11-04 08:07:04,True,False,True,0.0
0.035476308067222066,0.04838709677419356,0.296551724137931,0.0,0.12299132740103008,2023-03-02 16:43:56,33.0,3.0,2024-11-04 08:07:09,True,False,True,2.0
0.0017655128532903053,0.7580645161290323,0.9172413793103449,0.0,0.23751305729615496,2023-10-20 17:53:13,15.0,2.0,2024-11-04 08:09:44,False,False,True,3.0
0.06023500076364034,0.08064516129032262,0.5103448275862069,1.0,0.03845600581847905,2023-04-17 16:37:01,24.0,3.0,2024-11-04 08:11:38,True,False,False,5.0
0.009782357524593312,0.30645161290322587,0.29310344827586204,0.0,0.1737793360642184,2023-03-29 16:42:38,25.0,1.0,2024-11-04 08:11:59,True,True,False,2.0
0.03105886304425919,0.4193548387096775,0.6448275862068966,0.0,0.11231022387969408,2023-01-24 16:18:32,19.0,0.0,2024-11-04 08:11:22,True,False,True,0.0
0.013652811013480079,0.14516129032258068,0.9413793103448276,0.0,0.08405336115304833,2023-09-20 16:55:42,11.0,3.0,2024-11-04 08:08:30,True,True,False,0.0
